Country,State,Zip,City,Tax Rate,Tax Name,Priority,Compound,Shipping,Tax Class
US,CA,90001-90039;90041-90224;90239-90278;90290-90296;90304-90304;90312-90312;90501-90610;90640-90652;90670-90671;90701-90703;90706-90717;90723-90734;90744-91316;91321-91357;91364-91376;91380-91618;91702-91706;91711-91724;91740-91741;91744-91750;91754-91756;91765-91780;91788-91899;91950-91951;92020-92020;92022-92022;92234-92235;92262-92264;93510-93510;93532-93539;93543-93544;93550-93553;93563-93563;93584-93591;93599-93599;94002-94018;94020-94021;94025-94030;94037-94038;94044-94083;94128-94128;94404-94404;94501-94502;94518-94522;94524-94524;94527-94527;94529-94529;94536-94547;94550-94552;94555-94555;94557-94557;94560-94560;94563-94566;94568-94568;94580-94580;94586-94586;94588-94588;94601-94705;94707-94802;94804-94808;94850-94903;94912-94913;94915-94915;94930-94930;94945-94945;94947-94949;94978-94978;94998-94998;95008-95009;95011-95011;95330-95330;95473-95473;,*,9,CA Sales,1,1,1,Standard
US,CA,90040-90040;90230-90233;90301-90303;90305-90311;90401-90411;90704-90704;91731-91735;94019-94019;94530-94530;94587-94587;94706-94706;,*,9.5,CA Sales,1,1,1,Standard
US,CA,90280-90280;90637-90639;90660-90662;,*,10,CA Sales,1,1,1,Standard
US,CA,90620-90630;90680-90680;90720-90721;90740-90743;91701-91701;91708-91710;91729-91730;91737-91739;91743-91743;91752-91752;91758-91762;91764-91764;91784-91786;91901-91935;91944-91948;91962-92019;92021-92021;92023-92079;92082-92082;92086-92230;92233-92233;92236-92261;92266-92399;92404-92404;92407-92407;92427-92899;93013-93014;93030-93036;93041-93041;93043-93044;93067-93067;93101-93201;93207-93208;93218-93219;93221-93221;93227-93227;93235-93237;93244-93244;93247-93247;93254-93254;93256-93256;93260-93262;93265-93265;93267-93267;93270-93272;93282-93282;93286-93286;93401-93401;93403-93406;93408-93410;93420-93420;93427-93427;93429-93429;93433-93434;93436-93443;93446-93449;93455-93455;93457-93457;93460-93460;93463-93464;93483-93483;93513-93515;93522-93522;93526-93526;93530-93530;93545-93549;93562-93562;93592-93592;93601-93601;93603-93604;93610-93610;93614-93615;93623-93623;93626-93626;93633-93633;93635-93639;93643-93645;93647-93647;93653-93653;93666-93666;93669-93673;93901-93906;93912-93915;94203-94203;94205-94206;94230-94232;94239-94244;94246-94247;94254-94257;94259-94269;94280-94282;94284-94290;94293-94297;94503-94503;94508-94508;94515-94515;94558-94559;94562-94562;94567-94567;94573-94574;94576-94576;94581-94581;94599-94599;95201-95201;95208-95208;95212-95215;95220-95220;95227-95227;95230-95231;95234-95242;95253-95253;95258-95258;95296-95296;95301-95301;95304-95304;95306-95306;95311-95311;95318-95318;95320-95320;95322-95322;95325-95325;95338-95341;95344-95345;95348-95348;95366-95366;95389-95391;95422-95422;95424-95424;95453-95453;95601-95601;95605-95605;95608-95611;95615-95618;95621-95621;95624-95624;95626-95626;95628-95630;95638-95644;95646-95646;95652-95652;95654-95655;95660-95660;95662-95662;95665-95666;95669-95671;95673-95673;95680-95680;95683-95683;95685-95686;95689-95693;95699-95699;95741-95742;95757-95759;95763-95763;95798-95799;95821-95821;95824-95830;95836-95837;95841-95843;95860-95866;95987-95987;96150-96154;96156-96156;96158-96158;,*,8,CA Sales,1,1,1,Standard
US,CA,90631-90633;92081-92081;92083-92085;92231-92232;93203-93203;93215-93216;93223-93223;93257-93258;93274-93275;93927-93927;93933-93933;93950-93950;93955-93960;94204-94204;94207-94211;94234-94234;94245-94245;94250-94250;94258-94258;94278-94278;94283-94283;94291-94291;94299-94299;94505-94507;94509-94509;94511-94511;94513-94514;94516-94517;94523-94523;94525-94526;94528-94528;94531-94531;94548-94549;94553-94553;94556-94556;94561-94561;94569-94570;94572-94572;94575-94575;94582-94583;94595-94598;94803-94803;94820-94820;94904-94904;94914-94914;94920-94920;94924-94925;94929-94929;94933-94942;94946-94946;94950-94950;94956-94971;94973-94974;94976-94977;94979-94979;95019-95019;95023-95024;95076-95077;95336-95337;95376-95378;95632-95632;95811-95820;95822-95823;95831-95835;95838-95840;95851-95853;95867-95899;,*,8.5,CA Sales,1,1,1,Standard
US,CA,91319-91320;91358-91362;91377-91377;93001-93012;93015-93024;93040-93040;93042-93042;93060-93066;93094-93099;93202-93202;93204-93206;93212-93212;93220-93220;93222-93222;93224-93226;93230-93232;93238-93241;93243-93243;93245-93246;93249-93252;93255-93255;93263-93263;93266-93266;93268-93268;93276-93276;93280-93280;93283-93285;93287-93287;93301-93390;93402-93402;93407-93407;93412-93412;93421-93426;93428-93428;93430-93432;93435-93435;93444-93445;93450-93453;93461-93461;93465-93475;93501-93505;93512-93512;93516-93519;93523-93524;93527-93529;93531-93531;93541-93542;93554-93554;93558-93561;93581-93581;93596-93596;93620-93620;93661-93661;93665-93665;93907-93908;93920-93926;93928-93932;93940-93944;93953-93954;93962-93962;95004-95004;95012-95012;95039-95039;95043-95043;95045-95045;95075-95075;95221-95226;95228-95229;95232-95233;95245-95252;95254-95257;95303-95303;95305-95305;95309-95310;95312-95312;95315-95315;95317-95317;95321-95321;95324-95324;95327-95327;95329-95329;95333-95335;95343-95343;95346-95347;95364-95365;95369-95375;95379-95379;95383-95383;95388-95388;95423-95423;95426-95426;95435-95435;95443-95443;95451-95451;95457-95458;95461-95461;95464-95464;95467-95467;95485-95485;95493-95493;95503-95514;95519-95519;95524-95532;95536-95573;95587-95595;95602-95604;95606-95607;95612-95614;95619-95619;95623-95623;95627-95627;95631-95631;95633-95637;95645-95645;95648-95651;95653-95653;95656-95659;95661-95661;95663-95664;95667-95668;95672-95672;95674-95679;95681-95682;95684-95684;95694-95694;95697-95698;95701-95709;95713-95722;95726-95726;95735-95736;95746-95747;95762-95762;95765-95765;95901-95923;95925-95944;95947-95948;95950-95958;95961-95974;95976-95976;95978-95984;95988-96065;96068-96110;96112-96148;96155-96155;96157-96157;,*,7.5,CA Sales,1,1,1,Standard
US,CA,91763-91763;92401-92403;92405-92406;92408-92423;93277-93279;93290-93292;93454-93454;93456-93456;93458-93458;93555-93556;94922-94923;94951-94955;94972-94972;94975-94975;94999-95001;95003-95003;95005-95007;95017-95018;95033-95033;95041-95041;95062-95062;95065-95067;95073-95073;95202-95207;95209-95211;95219-95219;95267-95269;95297-95297;95412-95412;95416-95416;95419-95419;95421-95421;95425-95425;95430-95431;95433-95433;95436-95436;95439-95442;95444-95444;95446-95446;95450-95450;95452-95452;95462-95462;95465-95465;95471-95472;95476-95480;95486-95487;95492-95492;95501-95502;95518-95518;95521-95521;95534-95534;95695-95695;95776-95776;,*,8.25,CA Sales,1,1,1,Standard
US,CA,91941-91943;93618-93618;94022-94024;94035-94035;94039-94043;94085-94127;94129-94188;94301-94309;94926-94928;94931-94931;95002-95002;95010-95010;95013-95015;95020-95021;95026-95032;95035-95038;95042-95042;95044-95044;95046-95061;95063-95064;95070-95071;95101-95196;95401-95409;95448-95448;,*,8.75,CA Sales,1,1,1,Standard
US,CA,93210-93210;93234-93234;93242-93242;93602-93602;93605-93609;93611-93613;93616-93616;93619-93619;93621-93622;93624-93625;93627-93631;93634-93634;93640-93642;93646-93646;93648-93652;93656-93656;93660-93660;93664-93664;93667-93668;93675-93888;,*,8.225,CA Sales,1,1,1,Standard
US,CA,93654-93654;93662-93662;,*,8.725,CA Sales,1,1,1,Standard
