Country,State,Zip,City,Tax Rate,Tax Name,Priority,Compound,Shipping,Tax Class
US,CA,93230-93232,*,7.5,CA Sales,1,1,1,standard
US,CA,93234-93234,*,8.225,CA Sales,1,1,1,standard
US,CA,93235-93237,*,8,CA Sales,1,1,1,standard
US,CA,93238-93241,*,7.5,CA Sales,1,1,1,standard
US,CA,93242-93242,*,8.225,CA Sales,1,1,1,standard
US,CA,93243-93243,*,7.5,CA Sales,1,1,1,standard
US,CA,93244-93244,*,8,CA Sales,1,1,1,standard
US,CA,93245-93246,*,7.5,CA Sales,1,1,1,standard
US,CA,93247-93247,*,8,CA Sales,1,1,1,standard
US,CA,93249-93252,*,7.5,CA Sales,1,1,1,standard
US,CA,93254-93254,*,8,CA Sales,1,1,1,standard
US,CA,93255-93255,*,7.5,CA Sales,1,1,1,standard
US,CA,93256-93256,*,8,CA Sales,1,1,1,standard
US,CA,93257-93258,*,8.5,CA Sales,1,1,1,standard
US,CA,93260-93262,*,8,CA Sales,1,1,1,standard
US,CA,93263-93263,*,7.5,CA Sales,1,1,1,standard
US,CA,93265-93265,*,8,CA Sales,1,1,1,standard
US,CA,93266-93266,*,7.5,CA Sales,1,1,1,standard
US,CA,93267-93267,*,8,CA Sales,1,1,1,standard
US,CA,93268-93268,*,7.5,CA Sales,1,1,1,standard
US,CA,93270-93272,*,8,CA Sales,1,1,1,standard
US,CA,93274-93275,*,8.5,CA Sales,1,1,1,standard
US,CA,93276-93276,*,7.5,CA Sales,1,1,1,standard
US,CA,93277-93279,*,8.25,CA Sales,1,1,1,standard
US,CA,93280-93280,*,7.5,CA Sales,1,1,1,standard
US,CA,93282-93282,*,8,CA Sales,1,1,1,standard
US,CA,93283-93285,*,7.5,CA Sales,1,1,1,standard
US,CA,93286-93286,*,8,CA Sales,1,1,1,standard
US,CA,93287-93287,*,7.5,CA Sales,1,1,1,standard
US,CA,93290-93292,*,8.25,CA Sales,1,1,1,standard
US,CA,93301-93390,*,7.5,CA Sales,1,1,1,standard
US,CA,93401-93401,*,8,CA Sales,1,1,1,standard
US,CA,93402-93402,*,7.5,CA Sales,1,1,1,standard
US,CA,93403-93406,*,8,CA Sales,1,1,1,standard
US,CA,93407-93407,*,7.5,CA Sales,1,1,1,standard
US,CA,93408-93410,*,8,CA Sales,1,1,1,standard
US,CA,93412-93412,*,7.5,CA Sales,1,1,1,standard
US,CA,93420-93420,*,8,CA Sales,1,1,1,standard
US,CA,93421-93426,*,7.5,CA Sales,1,1,1,standard
US,CA,93427-93427,*,8,CA Sales,1,1,1,standard
US,CA,93428-93428,*,7.5,CA Sales,1,1,1,standard
US,CA,93429-93429,*,8,CA Sales,1,1,1,standard
US,CA,93430-93432,*,7.5,CA Sales,1,1,1,standard
US,CA,93433-93434,*,8,CA Sales,1,1,1,standard
US,CA,93435-93435,*,7.5,CA Sales,1,1,1,standard
US,CA,93436-93443,*,8,CA Sales,1,1,1,standard
US,CA,93444-93445,*,7.5,CA Sales,1,1,1,standard
US,CA,93446-93449,*,8,CA Sales,1,1,1,standard
US,CA,93450-93453,*,7.5,CA Sales,1,1,1,standard
US,CA,93454-93454,*,8.25,CA Sales,1,1,1,standard
US,CA,93455-93455,*,8,CA Sales,1,1,1,standard
US,CA,93456-93456,*,8.25,CA Sales,1,1,1,standard
US,CA,93457-93457,*,8,CA Sales,1,1,1,standard
US,CA,93458-93458,*,8.25,CA Sales,1,1,1,standard
US,CA,93460-93460,*,8,CA Sales,1,1,1,standard
US,CA,93461-93461,*,7.5,CA Sales,1,1,1,standard
US,CA,93463-93464,*,8,CA Sales,1,1,1,standard
US,CA,93465-93475,*,7.5,CA Sales,1,1,1,standard
US,CA,93483-93483,*,8,CA Sales,1,1,1,standard
US,CA,93501-93505,*,7.5,CA Sales,1,1,1,standard
US,CA,93510-93510,*,9,CA Sales,1,1,1,standard
US,CA,93512-93512,*,7.5,CA Sales,1,1,1,standard
US,CA,93513-93515,*,8,CA Sales,1,1,1,standard
US,CA,93516-93519,*,7.5,CA Sales,1,1,1,standard
US,CA,93522-93522,*,8,CA Sales,1,1,1,standard
US,CA,93523-93524,*,7.5,CA Sales,1,1,1,standard
US,CA,93526-93526,*,8,CA Sales,1,1,1,standard
US,CA,93527-93529,*,7.5,CA Sales,1,1,1,standard
US,CA,93530-93530,*,8,CA Sales,1,1,1,standard
US,CA,93531-93531,*,7.5,CA Sales,1,1,1,standard
US,CA,93532-93539,*,9,CA Sales,1,1,1,standard
US,CA,93541-93542,*,7.5,CA Sales,1,1,1,standard
US,CA,93543-93544,*,9,CA Sales,1,1,1,standard
US,CA,93545-93549,*,8,CA Sales,1,1,1,standard
US,CA,93550-93553,*,9,CA Sales,1,1,1,standard
US,CA,93554-93554,*,7.5,CA Sales,1,1,1,standard
US,CA,93555-93556,*,8.25,CA Sales,1,1,1,standard
US,CA,93558-93561,*,7.5,CA Sales,1,1,1,standard
US,CA,93562-93562,*,8,CA Sales,1,1,1,standard
US,CA,93563-93563,*,9,CA Sales,1,1,1,standard
US,CA,93581-93581,*,7.5,CA Sales,1,1,1,standard
US,CA,93584-93591,*,9,CA Sales,1,1,1,standard
US,CA,93592-93592,*,8,CA Sales,1,1,1,standard
US,CA,93596-93596,*,7.5,CA Sales,1,1,1,standard
US,CA,93599-93599,*,9,CA Sales,1,1,1,standard
US,CA,93601-93601,*,8,CA Sales,1,1,1,standard
US,CA,93602-93602,*,8.225,CA Sales,1,1,1,standard
US,CA,93603-93604,*,8,CA Sales,1,1,1,standard
US,CA,93605-93609,*,8.225,CA Sales,1,1,1,standard
US,CA,93610-93610,*,8,CA Sales,1,1,1,standard
US,CA,93611-93613,*,8.225,CA Sales,1,1,1,standard
US,CA,93614-93615,*,8,CA Sales,1,1,1,standard
US,CA,93616-93616,*,8.225,CA Sales,1,1,1,standard
US,CA,93618-93618,*,8.75,CA Sales,1,1,1,standard
US,CA,93619-93619,*,8.225,CA Sales,1,1,1,standard
US,CA,93620-93620,*,7.5,CA Sales,1,1,1,standard
US,CA,93621-93622,*,8.225,CA Sales,1,1,1,standard
US,CA,93623-93623,*,8,CA Sales,1,1,1,standard
US,CA,93624-93625,*,8.225,CA Sales,1,1,1,standard
US,CA,93626-93626,*,8,CA Sales,1,1,1,standard
US,CA,93627-93631,*,8.225,CA Sales,1,1,1,standard
US,CA,93633-93633,*,8,CA Sales,1,1,1,standard
US,CA,93634-93634,*,8.225,CA Sales,1,1,1,standard
US,CA,93635-93639,*,8,CA Sales,1,1,1,standard
US,CA,93640-93642,*,8.225,CA Sales,1,1,1,standard
US,CA,93643-93645,*,8,CA Sales,1,1,1,standard
US,CA,93646-93646,*,8.225,CA Sales,1,1,1,standard
US,CA,93647-93647,*,8,CA Sales,1,1,1,standard
US,CA,93648-93652,*,8.225,CA Sales,1,1,1,standard
US,CA,93653-93653,*,8,CA Sales,1,1,1,standard
US,CA,93654-93654,*,8.725,CA Sales,1,1,1,standard
US,CA,93656-93656,*,8.225,CA Sales,1,1,1,standard
US,CA,93657-93657,*,8.975,CA Sales,1,1,1,standard
US,CA,93660-93660,*,8.225,CA Sales,1,1,1,standard
US,CA,93661-93661,*,7.5,CA Sales,1,1,1,standard
US,CA,93662-93662,*,8.725,CA Sales,1,1,1,standard
US,CA,93664-93664,*,8.225,CA Sales,1,1,1,standard
US,CA,93665-93665,*,7.5,CA Sales,1,1,1,standard
US,CA,93666-93666,*,8,CA Sales,1,1,1,standard
US,CA,93667-93668,*,8.225,CA Sales,1,1,1,standard
US,CA,93669-93673,*,8,CA Sales,1,1,1,standard
US,CA,93675-93888,*,8.225,CA Sales,1,1,1,standard
US,CA,93901-93906,*,8,CA Sales,1,1,1,standard
US,CA,93907-93908,*,7.5,CA Sales,1,1,1,standard
US,CA,93912-93915,*,8,CA Sales,1,1,1,standard
US,CA,93920-93926,*,7.5,CA Sales,1,1,1,standard
US,CA,93927-93927,*,8.5,CA Sales,1,1,1,standard
US,CA,93928-93932,*,7.5,CA Sales,1,1,1,standard
US,CA,93933-93933,*,8.5,CA Sales,1,1,1,standard
US,CA,93940-93944,*,7.5,CA Sales,1,1,1,standard
US,CA,93950-93950,*,8.5,CA Sales,1,1,1,standard
US,CA,93953-93954,*,7.5,CA Sales,1,1,1,standard
US,CA,93955-93960,*,8.5,CA Sales,1,1,1,standard
US,CA,93962-93962,*,7.5,CA Sales,1,1,1,standard
US,CA,94002-94018,*,9,CA Sales,1,1,1,standard
US,CA,94019-94019,*,9.5,CA Sales,1,1,1,standard
US,CA,94020-94021,*,9,CA Sales,1,1,1,standard
US,CA,94022-94024,*,8.75,CA Sales,1,1,1,standard
US,CA,94025-94030,*,9,CA Sales,1,1,1,standard
US,CA,94035-94035,*,8.75,CA Sales,1,1,1,standard
US,CA,94037-94038,*,9,CA Sales,1,1,1,standard
US,CA,94039-94043,*,8.75,CA Sales,1,1,1,standard
US,CA,94044-94083,*,9,CA Sales,1,1,1,standard
US,CA,94085-94127,*,8.75,CA Sales,1,1,1,standard
US,CA,94128-94128,*,9,CA Sales,1,1,1,standard
US,CA,94129-94188,*,8.75,CA Sales,1,1,1,standard
US,CA,94203-94203,*,8,CA Sales,1,1,1,standard
US,CA,94204-94204,*,8.5,CA Sales,1,1,1,standard
US,CA,94205-94206,*,8,CA Sales,1,1,1,standard
US,CA,94207-94211,*,8.5,CA Sales,1,1,1,standard
US,CA,94230-94232,*,8,CA Sales,1,1,1,standard
US,CA,94234-94234,*,8.5,CA Sales,1,1,1,standard
US,CA,94239-94244,*,8,CA Sales,1,1,1,standard
US,CA,94245-94245,*,8.5,CA Sales,1,1,1,standard
US,CA,94246-94247,*,8,CA Sales,1,1,1,standard
US,CA,94250-94250,*,8.5,CA Sales,1,1,1,standard
US,CA,94254-94257,*,8,CA Sales,1,1,1,standard
US,CA,94258-94258,*,8.5,CA Sales,1,1,1,standard
US,CA,94259-94269,*,8,CA Sales,1,1,1,standard
US,CA,94278-94278,*,8.5,CA Sales,1,1,1,standard
US,CA,94280-94282,*,8,CA Sales,1,1,1,standard
US,CA,94283-94283,*,8.5,CA Sales,1,1,1,standard
US,CA,94284-94290,*,8,CA Sales,1,1,1,standard
US,CA,94291-94291,*,8.5,CA Sales,1,1,1,standard
US,CA,94293-94297,*,8,CA Sales,1,1,1,standard
US,CA,94299-94299,*,8.5,CA Sales,1,1,1,standard
US,CA,94301-94309,*,8.75,CA Sales,1,1,1,standard
US,CA,94401-94403,*,9.25,CA Sales,1,1,1,standard
US,CA,94404-94404,*,9,CA Sales,1,1,1,standard
US,CA,94497-94497,*,9.25,CA Sales,1,1,1,standard
US,CA,94501-94502,*,9,CA Sales,1,1,1,standard
US,CA,94503-94503,*,8,CA Sales,1,1,1,standard
US,CA,94505-94507,*,8.5,CA Sales,1,1,1,standard
US,CA,94508-94508,*,8,CA Sales,1,1,1,standard
US,CA,94509-94509,*,8.5,CA Sales,1,1,1,standard
US,CA,94510-94510,*,7.625,CA Sales,1,1,1,standard
US,CA,94511-94511,*,8.5,CA Sales,1,1,1,standard
US,CA,94512-94512,*,7.625,CA Sales,1,1,1,standard
US,CA,94513-94514,*,8.5,CA Sales,1,1,1,standard
US,CA,94515-94515,*,8,CA Sales,1,1,1,standard
US,CA,94516-94517,*,8.5,CA Sales,1,1,1,standard
US,CA,94518-94522,*,9,CA Sales,1,1,1,standard
US,CA,94523-94523,*,8.5,CA Sales,1,1,1,standard
US,CA,94524-94524,*,9,CA Sales,1,1,1,standard
US,CA,94525-94526,*,8.5,CA Sales,1,1,1,standard
US,CA,94527-94527,*,9,CA Sales,1,1,1,standard
US,CA,94528-94528,*,8.5,CA Sales,1,1,1,standard
US,CA,94529-94529,*,9,CA Sales,1,1,1,standard
US,CA,94530-94530,*,9.5,CA Sales,1,1,1,standard
US,CA,94531-94531,*,8.5,CA Sales,1,1,1,standard
US,CA,94533-94535,*,8.625,CA Sales,1,1,1,standard
US,CA,94536-94547,*,9,CA Sales,1,1,1,standard
US,CA,94548-94549,*,8.5,CA Sales,1,1,1,standard
US,CA,94550-94552,*,9,CA Sales,1,1,1,standard
US,CA,94553-94553,*,8.5,CA Sales,1,1,1,standard
US,CA,94555-94555,*,9,CA Sales,1,1,1,standard
US,CA,94556-94556,*,8.5,CA Sales,1,1,1,standard
US,CA,94557-94557,*,9,CA Sales,1,1,1,standard
US,CA,94558-94559,*,8,CA Sales,1,1,1,standard
US,CA,94560-94560,*,9,CA Sales,1,1,1,standard
US,CA,94561-94561,*,8.5,CA Sales,1,1,1,standard
US,CA,94562-94562,*,8,CA Sales,1,1,1,standard
US,CA,94563-94566,*,9,CA Sales,1,1,1,standard
US,CA,94567-94567,*,8,CA Sales,1,1,1,standard
US,CA,94568-94568,*,9,CA Sales,1,1,1,standard
US,CA,94569-94570,*,8.5,CA Sales,1,1,1,standard
US,CA,94571-94571,*,8.375,CA Sales,1,1,1,standard
US,CA,94572-94572,*,8.5,CA Sales,1,1,1,standard
US,CA,94573-94574,*,8,CA Sales,1,1,1,standard
US,CA,94575-94575,*,8.5,CA Sales,1,1,1,standard
US,CA,94576-94576,*,8,CA Sales,1,1,1,standard
US,CA,94577-94579,*,9.25,CA Sales,1,1,1,standard
US,CA,94580-94580,*,9,CA Sales,1,1,1,standard
US,CA,94581-94581,*,8,CA Sales,1,1,1,standard
US,CA,94582-94583,*,8.5,CA Sales,1,1,1,standard
US,CA,94585-94585,*,7.625,CA Sales,1,1,1,standard
US,CA,94586-94586,*,9,CA Sales,1,1,1,standard
US,CA,94587-94587,*,9.5,CA Sales,1,1,1,standard
US,CA,94588-94588,*,9,CA Sales,1,1,1,standard
US,CA,94589-94592,*,8.625,CA Sales,1,1,1,standard
US,CA,94595-94598,*,8.5,CA Sales,1,1,1,standard
US,CA,94599-94599,*,8,CA Sales,1,1,1,standard
US,CA,94601-94705,*,9,CA Sales,1,1,1,standard
US,CA,94706-94706,*,9.5,CA Sales,1,1,1,standard
US,CA,94707-94802,*,9,CA Sales,1,1,1,standard
US,CA,94803-94803,*,8.5,CA Sales,1,1,1,standard
US,CA,94804-94808,*,9,CA Sales,1,1,1,standard
